3,0.000769231,0.577
4,0,0.577
5,0.000769231,0.577
2,0,0.591
3,0.00461538,1.09
4,0,1.09
5,0.00538462,1.09
2,0.00538462,1.11
4,0,1.601
5,0.00538462,1.601
3,0.00538462,1.61
2,0.00538462,1.63
4,0,2.107
5,0.00461538,2.107
3,0.00461538,2.115
2,0.00538462,2.14
3,0.00538462,2.627
4,0,2.627
5,0.00538462,2.627
2,0.00538462,2.647
4,0,3.13
5,0.00538462,3.13
3,0.00538462,3.146
2,0.00538462,3.165
4,0,3.643
5,0.00461538,3.643
3,0.00538462,3.665
2,0.00538462,3.666
4,0,4.146
5,0.00538462,4.146
2,0.00307692,4.166
3,0.00538462,4.166
4,0,4.647
5,0.00461538,4.647
2,0.00538462,4.669
3,0.00615385,4.669
4,0,5.149
5,0.00461538,5.169
2,0.00461538,5.189
3,0.00538462,5.189
4,0,5.658
5,0.00538462,5.678
2,0.00461538,5.691
3,0.00538462,5.691
