4,2.647,265,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,269,3,132,12,1,268,10
5,2.681,269,2,1,-128,1255,1261,1274,12,100,100,100,1,1,0,277,6,108,12,1,277,3
2,2.723,273,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,280,2,108,12,1,279,9
4,2.747,275,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,276,6,24,12,1,276,3
2,2.823,283,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,291,4,48,12,1,291,1
4,2.847,285,8,1,-128,1256,1261,1274,1,100,100,100,1,1,0,290,10,108,12,1,290,7
3,2.872,288,3,1,-128,1255,1261,1274,14,100,100,100,1,1,0,294,1,12,12,1,293,8
1,2.916,292,7,1,-128,220,221,234,68,20,20,20,1,1,0,293,7,108,12,1,293,4
2,2.923,293,4,1,-128,1221,1222,1274,1,100,100,100,1,1,0,293,6,24,12,1,293,3
4,2.947,295,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,302,2,0,12,1,301,9
2,3.023,303,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,310,9,132,12,1,310,6
4,3.047,305,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,306,3,0,12,1,305,10
2,3.123,313,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,322,1,120,12,1,321,8
4,3.147,315,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,322,9,72,12,1,322,6
2,3.223,323,4,1,-128,1203,1209,1274,1,100,100,100,1,1,0,331,7,0,12,1,331,4
4,3.247,325,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,326,10,12,12,1,326,7
2,3.323,333,4,1,-128,1207,1209,1274,1,100,100,100,1,1,0,339,6,72,12,1,339,3
4,3.347,335,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,342,8,24,12,1,342,5
2,3.423,343,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,348,2,60,12,1,347,9
4,3.447,345,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,346,4,144,12,1,346,1
2,3.523,353,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,354,1,60,12,1,353,8
4,3.547,355,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,359,7,72,12,1,359,4
2,3.623,363,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,365,4,48,12,1,365,1
4,3.647,365,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,368,7,132,12,1,368,4
2,3.723,373,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,379,3,48,12,1,378,10
4,3.747,375,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,384,6,72,12,1,384,3
2,3.823,383,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,386,10,144,12,1,386,7
4,3.847,385,8,1,-128,1207,1209,1274,1,100,100,100,1,1,0,392,10,24,12,1,392,7
5,3.881,389,2,1,-128,1203,1209,1274,15,100,100,100,1,1,0,395,10,72,12,1,395,7
2,3.923,393,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,393,7,120,12,1,393,4
4,3.947,395,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,397,4,120,12,1,397,1
2,4.023,403,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,410,8,36,12,1,410,5
4,4.047,405,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,408,1,12,12,1,407,8
2,4.123,413,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,419,4,84,12,1,419,1
4,4.147,415,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,418,7,108,12,1,418,4
2,4.223,423,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,427,7,60,12,1,427,4
4,4.247,425,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,433,6,132,12,1,433,3
3,4.272,428,3,1,-128,1260,1261,1274,7,100,100,100,1,1,0,435,8,72,12,1,435,5
1,4.276,428,7,1,-128,220,221,234,53,20,20,20,1,1,0,429,10,60,12,1,429,7
2,4.323,433,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,438,8,48,12,1,438,5
4,4.347,435,8,1,-128,1255,1261,1274,1,100,100,100,1,1,0,441,5,12,12,1,441,2
2,4.423,443,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,447,4,132,12,1,447,1
4,4.447,445,8,1,-128,1255,1261,1274,1,100,100,100,1,1,0,454,2,72,12,1,453,9
2,4.523,453,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,462,3,108,12,1,461,10
4,4.547,455,8,1,-128,1203,1209,1274,1,100,100,100,1,1,0,464,7,120,12,1,464,4
2,4.623,463,4,1,-128,1202,1209,1274,1,100,100,100,1,1,0,465,9,132,12,1,465,6
4,4.647,465,8,1,-128,1208,1209,1274,1,100,100,100,1,1,0,468,4,84,12,1,468,1
2,4.723,473,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,478,5,120,12,1,478,2
4,4.747,475,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,477,2,84,12,1,476,9
2,4.823,483,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,486,9,0,12,1,486,6
4,4.847,485,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,487,7,84,12,1,487,4
2,4.923,493,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,500,10,12,12,1,500,7
4,4.947,495,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,496,10,96,12,1,496,7
3,4.972,498,3,1,-128,1255,1261,1274,9,100,100,100,1,1,0,504,4,0,12,1,504,1
2,5.023,503,4,1,-128,1255,1261,1274,1,100,100,100,1,1,0,510,6,12,12,1,510,3
4,5.047,505,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,506,9,0,12,1,506,6
2,5.123,513,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,521,8,84,12,1,521,5
4,5.147,515,8,1,-128,1254,1261,1274,1,100,100,100,1,1,0,521,7,12,12,1,521,4
2,5.223,523,4,1,-128,1202,1209,1274,1,100,100,100,1,1,0,528,9,36,12,1,528,6
4,5.247,525,8,1,-128,1254,1261,1274,1,100,100,100,1,1,0,532,7,60,12,1,532,4
2,5.323,533,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,537,1,84,12,1,536,8
1,5.336,534,7,1,-128,220,221,234,37,20,20,20,1,1,0,534,9,24,12,1,534,6
4,5.347,535,8,1,-128,1254,1261,1274,1,100,100,100,1,1,0,545,5,84,12,1,545,2
5,5.381,539,2,1,-128,1255,1261,1274,15,100,100,100,1,1,0,540,3,24,12,1,539,10
2,5.423,543,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,552,6,84,12,1,552,3
4,5.447,545,8,1,-128,1202,1209,1274,1,100,100,100,1,1,0,546,6,36,12,1,546,3
2,5.523,553,4,1,-128,1202,1209,1274,1,100,100,100,1,1,0,561,7,36,12,1,561,4
4,5.547,555,8,1,-128,1254,1261,1274,1,100,100,100,1,1,0,561,3,12,12,1,560,10
2,5.623,563,4,1,-128,1202,1209,1274,1,100,100,100,1,1,0,571,10,0,12,1,571,7
4,5.647,565,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,570,2,132,12,1,569,9
2,5.723,573,4,1,-128,1202,1209,1274,1,100,100,100,1,1,0,582,10,0,12,1,582,7
4,5.747,575,8,1,-128,1259,1261,1274,1,100,100,100,1,1,0,579,3,12,12,1,578,10
2,5.823,583,4,1,-128,1202,1209,1274,1,100,100,100,1,1,0,591,9,24,12,1,591,6
4,5.847,585,8,1,-128,1260,1261,1274,1,100,100,100,1,1,0,589,1,120,12,1,588,8
3,5.872,588,3,1,-128,1255,1261,1274,12,100,100,100,1,1,0,594,5,48,12,1,594,2
2,5.923,593,4,1,-128,1203,1209,1274,1,100,100,100,1,1,0,598,1,12,12,1,597,8
4,5.947,595,8,1,-128,1255,1261,1274,1,100,100,100,1,1,0,605,2,96,12,1,604,9
2,6.023,603,4,1,-128,1254,1261,1274,1,100,100,100,1,1,0,609,10,12,12,1,609,7
4,6.047,605,8,1,-128,1208,1209,1274,1,100,100,100,1,1,0,614,4,120,12,1,614,1
1,6.076,608,7,1,-128,219,221,234,53,20,20,20,1,1,0,610,4,120,12,1,610,1
