# simulation_num, region_value, pkeep, region_weights[region_value], value_clr, value_plr, value_paoi, value_aoi, value_pdr
1006.000000,25.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,75.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,125.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,175.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,225.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,275.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,325.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,375.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,425.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,475.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,525.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,575.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,625.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,675.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,725.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,775.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,825.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1006.000000,875.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,25.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,75.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,125.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,175.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,225.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,275.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,325.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,375.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,425.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,475.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,525.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
1007.000000,575.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
