5,2,0.0631509,1,0.116,12,7,7,100,10,20,11,10,10
1,3,0.113247,1,0.118,12,9,26,20,20,20,11,20,10
1,4,0.133247,1,0.138,14,9,25,20,20,20,11,20,10
4,1,0.0583714,1,0.143,15,4,0,0,10,20,11,10,10
1,5,0.153247,1,0.158,16,9,24,20,20,20,11,20,10
1,8,0.173247,1,0.178,18,9,23,20,20,20,11,20,10
1,9,0.193247,1,0.198,20,9,22,20,20,20,11,20,10
4,6,0.158371,1,0.215,22,6,0,0,30,20,11,30,10
5,7,0.163151,1,0.216,22,7,6,100,10,20,11,10,10
1,10,0.213247,1,0.218,22,9,21,20,20,20,11,20,10
1,11,0.233247,1,0.238,24,9,20,20,20,20,11,20,10
1,12,0.253247,1,0.258,26,9,19,20,20,20,11,20,10
1,15,0.273247,1,0.278,28,9,18,20,20,20,11,20,10
1,16,0.293247,1,0.298,30,9,17,20,20,20,11,20,10
2,17,0.306442,1,0.311,32,2,0,0,10,20,11,10,10
5,14,0.263151,1,0.316,32,7,5,100,10,20,11,10,10
1,18,0.313247,1,0.318,32,9,16,20,20,20,11,20,10
1,19,0.333247,1,0.338,34,9,15,20,20,20,11,20,10
4,13,0.258371,1,0.349,35,10,0,0,20,20,11,20,10
1,20,0.353247,1,0.358,36,9,14,20,20,20,11,20,10
1,23,0.373247,1,0.378,38,9,13,20,20,20,11,20,10
1,24,0.393247,1,0.398,40,9,12,20,20,20,11,20,10
5,22,0.363151,1,0.416,42,7,4,100,10,20,11,10,10
1,26,0.413247,1,0.418,42,9,11,20,20,20,11,20,10
4,21,0.358371,1,0.422,43,3,0,0,20,20,11,20,10
2,25,0.406442,1,0.43,44,1,0,0,30,20,11,30,10
1,27,0.433247,1,0.438,44,9,10,20,20,20,11,20,10
1,28,0.453247,1,0.458,46,9,9,20,20,20,11,20,10
1,31,0.473247,1,0.478,48,9,8,20,20,20,11,20,10
1,32,0.493247,1,0.498,50,9,7,20,20,20,11,20,10
4,29,0.458371,1,0.515,52,6,0,0,30,20,11,30,10
5,30,0.463151,1,0.516,52,7,3,100,10,20,11,10,10
1,34,0.513247,1,0.518,52,9,6,20,20,20,11,20,10
2,33,0.506442,1,0.532,54,3,0,0,30,20,11,30,10
1,35,0.533247,1,0.538,54,9,5,20,20,20,11,20,10
1,36,0.553247,1,0.558,56,9,4,20,20,20,11,20,10
1,39,0.573247,1,0.578,58,9,3,20,20,20,11,20,10
4,37,0.558371,1,0.59,60,1,0,0,20,20,11,20,10
1,40,0.593247,1,0.598,60,9,2,20,20,20,11,20,10
5,38,0.563151,1,0.616,62,7,2,100,10,20,11,10,10
1,42,0.613247,1,0.618,62,9,1,20,20,20,11,20,10
1,43,0.633247,1,0.638,64,9,0,0,20,20,11,20,10
1,44,0.653247,1,0.663,67,4,38,20,20,20,11,20,10
2,41,0.606442,1,0.669,67,10,0,0,0,20,11,0,10
4,45,0.658371,1,0.679,68,10,0,0,10,20,11,10,10
1,47,0.673247,1,0.683,69,4,37,20,20,20,11,20,10
1,48,0.693247,1,0.703,71,4,36,20,20,20,11,20,10
5,46,0.663151,1,0.716,72,7,1,100,10,20,11,10,10
1,50,0.713247,1,0.723,73,4,35,20,20,20,11,20,10
1,51,0.733247,1,0.743,75,4,34,20,20,20,11,20,10
1,52,0.753247,1,0.763,77,4,33,20,20,20,11,20,10
4,53,0.758371,1,0.777,78,8,0,0,20,20,11,20,10
1,55,0.773247,1,0.783,79,4,32,20,20,20,11,20,10
2,49,0.706442,1,0.802,81,3,0,0,10,20,11,10,10
1,56,0.793247,1,0.803,81,4,31,20,20,20,11,20,10
5,54,0.763151,1,0.816,82,7,0,0,10,20,11,10,10
1,58,0.813247,1,0.823,83,4,30,20,20,20,11,20,10
1,59,0.833247,1,0.843,85,4,29,20,20,20,11,20,10
1,60,0.853247,1,0.863,87,4,28,20,20,20,11,20,10
1,64,0.873247,1,0.883,89,4,27,20,20,20,11,20,10
2,57,0.806442,1,0.887,89,8,0,0,20,20,11,20,10
1,65,0.893247,1,0.903,91,4,26,20,20,20,11,20,10
3,63,0.865724,1,0.911,92,2,8,100,20,20,11,20,10
2,66,0.906442,1,0.92,93,1,0,0,20,20,11,20,10
1,67,0.913247,1,0.923,93,4,25,20,20,20,11,20,10
4,61,0.858371,1,0.928,93,9,0,0,0,20,11,0,10
1,68,0.933247,1,0.943,95,4,24,20,20,20,11,20,10
5,62,0.863151,1,0.949,95,10,6,100,30,20,11,30,10
1,69,0.953247,1,0.963,97,4,23,20,20,20,11,20,10
1,73,0.973247,1,0.983,99,4,22,20,20,20,11,20,10
1,74,0.993247,1,1.003,101,4,21,20,20,20,11,20,10
3,72,0.965724,1,1.011,102,2,7,100,20,20,11,20,10
1,76,1.01325,1,1.023,103,4,20,20,20,20,11,20,10
4,70,0.958371,1,1.031,104,2,0,0,10,20,11,10,10
1,77,1.03325,1,1.043,105,4,19,20,20,20,11,20,10
2,75,1.00644,1,1.049,105,10,0,0,20,20,11,20,10
5,71,0.963151,1,1.049,105,10,5,100,30,20,11,30,10
1,78,1.05325,1,1.063,107,4,18,20,20,20,11,20,10
1,82,1.07325,1,1.083,109,4,17,20,20,20,11,20,10
4,79,1.05837,1,1.087,109,8,0,0,20,20,11,20,10
1,83,1.09325,1,1.103,111,4,16,20,20,20,11,20,10
3,81,1.06572,1,1.111,112,2,6,100,20,20,11,20,10
1,85,1.11325,1,1.123,113,4,15,20,20,20,11,20,10
1,86,1.13325,1,1.143,115,4,14,20,20,20,11,20,10
5,80,1.06315,1,1.149,115,10,4,100,30,20,11,30,10
1,87,1.15325,1,1.163,117,4,13,20,20,20,11,20,10
2,84,1.10644,1,1.176,118,7,0,0,20,20,11,20,10
1,91,1.17325,1,1.183,119,4,12,20,20,20,11,20,10
1,92,1.19325,1,1.203,121,4,11,20,20,20,11,20,10
3,90,1.16572,1,1.211,122,2,5,100,20,20,11,20,10
4,88,1.15837,1,1.22,123,1,0,0,30,20,11,30,10
1,94,1.21325,1,1.223,123,4,10,20,20,20,11,20,10
1,95,1.23325,1,1.243,125,4,9,20,20,20,11,20,10
5,89,1.16315,1,1.249,125,10,3,100,30,20,11,30,10
1,96,1.25325,1,1.263,127,4,8,20,20,20,11,20,10
2,93,1.20644,1,1.266,127,7,0,0,10,20,11,10,10
4,97,1.25837,1,1.272,128,3,0,0,20,20,11,20,10
1,100,1.27325,1,1.283,129,4,7,20,20,20,11,20,10
1,101,1.29325,1,1.303,131,4,6,20,20,20,11,20,10
3,99,1.26572,1,1.311,132,2,4,100,20,20,11,20,10
2,102,1.30644,1,1.315,132,6,0,0,20,20,11,20,10
1,103,1.31325,1,1.323,133,4,5,20,20,20,11,20,10
1,104,1.33325,1,1.343,135,4,4,20,20,20,11,20,10
