1,0.004,0.515
3,0.016,0.515
5,0.002,0.515
4,0.022,0.516
3,0.01,1.023
4,0.024,1.023
5,0.014,1.023
1,0.004,1.031
3,0.016,1.529
4,0.02,1.529
5,0.01,1.529
1,0.008,1.549
3,0.022,2.03
4,0.026,2.03
5,0.01,2.03
1,0.008,2.069
3,0.018,2.533
4,0.016,2.533
5,0.008,2.533
1,0.004,2.571
3,0.018,3.049
4,0.026,3.049
5,0.01,3.049
1,0.008,3.084
3,0.018,3.569
4,0.024,3.569
5,0.014,3.569
1,0.006,3.586
3,0.016,4.081
4,0.018,4.081
5,0.014,4.081
1,0.004,4.12
3,0.018,4.599
4,0.024,4.599
5,0.016,4.599
1,0.008,4.627
3,0.022,5.102
4,0.016,5.102
5,0.018,5.102
1,0.008,5.133
3,0.018,5.608
4,0.014,5.608
5,0.014,5.608
1,0.004,5.674
